id,desc,memo,ship_skin_id,draw_able_name,parameter,mode,start_value,range,parts_data,ignore_react,react_condition,ignore_action,range_abs,drag_direct,react_pos_x,react_pos_y,offset_circle,offset_x,offset_y,smooth,revert_smooth,revert,save_parameter,revert_action_index,revert_idle_index,gyro,gyro_x,gyro_y,gyro_z,limit_time,listener_data,action_trigger,action_trigger_active,shop_action,relation_parameter
80601119,,beilaosenlin_2,806011,TouchIdle19,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle19'}","{enable = {},ignore = {},idle = 0}",,
80601120,,beilaosenlin_2,806011,TouchDrag3,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_drag2'}",,,
80601121,,beilaosenlin_2,806011,TouchDrag4,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_drag3'}",,,
80601122,,beilaosenlin_2,806011,TouchDrag6,dxbz2,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2,target = 1,circle = true}",,,
80601123,,beilaosenlin_2,806011,TouchDrag6,,2,0,"{-30,30}",,1,,1,0,0,,,,14,6,100,100,-1,,,1,0,0,0,0,1,,,,0,"{list={{name='Param134',type=101},{name='Param135',type=102}}}"
80601124,,beilaosenlin_2,806011,TouchDrag7,dxyfjk2,1,0,"{0,1}",,1,,1,1,1,,,,0,50,100,100,-1,,,,0,0,0,0,1,,,,,
80601125,,beilaosenlin_2,806011,TouchDrag8,dxyfjk,1,0,"{0,1}",,1,,1,1,1,,,,0,50,100,100,-1,,,,0,0,0,0,1,,,,,
80601126,,beilaosenlin_2,806011,TouchDrag9,dxyfjk3,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,target = 1,time = 1}",,,
80601127,,beilaosenlin_2,806011,TouchDrag10,dxyfjk4,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2,target = 1,circle = true}",,,
80601128,,beilaosenlin_2,806011,TouchDrag11,TTA,1,0,"{0,1}",,1,,1,1,1,,,,-50,0,100,100,-1,,,,0,0,0,0,1,,,,,
80601129,,beilaosenlin_2,806011,TouchDrag11,TTB,1,0,"{0,1}",,1,,1,1,0,,,,0,0,500,100,-1,,,,0,0,0,0,1,,"{type = 13 ,parameter = 'TTA',rate = 0.4}",,,
80601130,,beilaosenlin_2,806011,TouchIdle13,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle13'}","{enable = {},ignore = {},idle = 0}",,
80601131,,beilaosenlin_2,806011,,dxbz4,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,"{type=1,change={{1,{'touch_drag3'},1},{1,{'touch_idle18'},-1}}}",{type = 7},,,
80401101,,masaina_2,804011,TouchIdle1,empty,1,0,"{0,1}",,1,{idle_on={0}},1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle1'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 1}",,
80401102,,masaina_2,804011,TouchIdle2,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle2'}",,,
80401103,,masaina_2,804011,TouchIdle3,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle3'}",,,
80401104,,masaina_2,804011,TouchIdle4,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle4'}","{enable = {},ignore = {},idle = 0}",,
80401105,,masaina_2,804011,TouchIdle5,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle5'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 2}",,
80401106,,masaina_2,804011,TouchIdle6,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle6'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 3}",,
80401107,,masaina_2,804011,TouchIdle7,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle7'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 2}",,
80401108,,masaina_2,804011,TouchIdle12,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle12'}","{enable = {},ignore = {},idle = 0}",,
80401109,,masaina_2,804011,TouchIdle8,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle8'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 4}",,
80401110,,masaina_2,804011,TouchIdle11,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle11'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 2}",,
80401111,,masaina_2,804011,TouchIdle9,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle9'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 5}",,
80401112,,masaina_2,804011,TouchIdle10,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle10'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 4}",,
80401113,,masaina_2,804011,TouchIdle13,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle13'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 6}",,
80401114,,masaina_2,804011,TouchIdle18,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle18'}","{enable = {},ignore = {},idle = 0}",,
80401115,,masaina_2,804011,TouchIdle14,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle14'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 7}",,
80401116,,masaina_2,804011,TouchIdle15,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle15'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 6}",,
80401117,,masaina_2,804011,TouchIdle16,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle16'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 8}",,
80401118,,masaina_2,804011,TouchIdle17,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle17'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 6}",,
80401119,,masaina_2,804011,TouchDrag1,Touchdrag1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2,target = 1,circle = true}",,,
80401120,,masaina_2,804011,TouchDrag2,Touchdrag2,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2,target = 1,circle = true}",,,
80401121,,masaina_2,804011,TouchDrag3,Touchdrag3,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2,target = 1,circle = true}",,,
80401122,,masaina_2,804011,TouchIdle19,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle19'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 5}",,
80401123,,masaina_2,804011,TouchIdle20,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle20'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 3}",,
13706101,,qiye_10,137061,TouchIdle1,touchIdle1,1,0,"{0,1}",,1,{idle_on={0}},1,1,0,,,,50,0,100,100,-1,,1,1,0,0,0,0,1,,"{type=2,action='touch_idle1'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag13','touch_drag14','touch_drag15','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 1}",,
13706102,,qiye_10,137061,TouchDrag1,touch_drag1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2,target = 1,circle = true}",,,
13706103,,qiye_10,137061,TouchIdle2,touchIdle2,1,0,"{0,1}",,1,,1,1,0,,,,-50,0,100,100,-1,,1,1,0,0,0,0,1,,"{type=2,action='touch_idle2'}","{enable = {},ignore = {},idle = 0}",,
13706104,,qiye_10,137061,TouchIdle3,touchIdle3,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type=2,action='touch_idle3'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag13','touch_drag14','touch_drag15','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 3}",,
13706105,反复拖拽4-表现,qiye_10,137061,TouchDrag4,touch_drag4,1,0,"{-1,1}",,1,,1,0,0,,,,0,-50,100,400,-1,,1,1,0,0,0,0,1,,,,,
13706106,反复拖拽4-逻辑,qiye_10,137061,TouchDrag4,Paramtouch_idle4,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,400,-1,,1,1,0,0,0,0,1,,"{type = 13 ,action = 'touch_idle4',parameter = 'touch_drag4',num = 1,rate = 0.4}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag13','touch_drag14','touch_drag15','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 4}",,
13706107,反复拖拽5-表现,qiye_10,137061,TouchDrag5,touch_drag5,1,0,"{-1,1}",,1,,1,0,0,,,,0,-50,100,400,-1,,1,1,0,0,0,0,1,,,,,
13706108,反复拖拽5-逻辑,qiye_10,137061,TouchDrag5,Paramtouch_idle5,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,400,-1,,1,1,0,0,0,0,1,,"{type = 13 ,action = 'touch_idle5',parameter = 'touch_drag5',num = 1,rate = 0.4}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag13','touch_drag14','touch_drag15','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 5}",,
13706109,反复拖拽6-表现,qiye_10,137061,TouchDrag6,touch_drag6,1,0,"{-1,1}",,1,,1,0,0,,,,50,0,100,400,-1,,1,1,0,0,0,0,1,,,,,
13706110,反复拖拽6-逻辑,qiye_10,137061,TouchDrag6,Paramtouch_idle6,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,400,-1,,1,1,0,0,0,0,1,,"{type = 13 ,action = 'touch_idle6',parameter = 'touch_drag6',num = 1,rate = 0.4}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag13','touch_drag14','touch_drag15','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 6}",,
13706111,反复拖拽7-表现,qiye_10,137061,TouchDrag7,touch_drag7,1,0,"{-1,1}",,1,,1,0,0,,,,50,0,100,400,-1,,1,1,0,0,0,0,1,,,,,
13706112,反复拖拽7-逻辑,qiye_10,137061,TouchDrag7,Paramtouch_idle7,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,400,-1,,1,1,0,0,0,0,1,,"{type = 13 ,action = 'touch_idle7',parameter = 'touch_drag7',num = 1,rate = 0.4}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag13','touch_drag14','touch_drag15','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 7}",,
13706113,反复拖拽8-表现,qiye_10,137061,TouchDrag8,touch_drag8,1,0,"{-1,1}",,1,,1,0,0,,,,0,-50,100,400,-1,,1,1,0,0,0,0,1,,,,,
13706114,反复拖拽8-逻辑,qiye_10,137061,TouchDrag8,Paramtouch_idle8,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,400,-1,,1,1,0,0,0,0,1,,"{type = 13 ,action = 'touch_idle8',parameter = 'touch_drag8',num = 1,rate = 0.4}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag13','touch_drag14','touch_drag15','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 8}",,
13706115,反复拖拽9-表现,qiye_10,137061,TouchDrag9,touch_drag9,1,0,"{-1,1}",,1,,1,0,0,,,,50,0,100,400,-1,,1,1,0,0,0,0,1,,,,,
13706116,反复拖拽9-逻辑,qiye_10,137061,TouchDrag9,Paramtouch_idle9,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,400,-1,,1,1,0,0,0,0,1,,"{type = 13 ,action = 'touch_idle9',parameter = 'touch_drag9',num = 1,rate = 0.4}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag13','touch_drag14','touch_drag15','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 9}",,
13706117,,qiye_10,137061,TouchIdle17,touchIdle17,1,0,"{0,1}",,1,,1,1,0,,,,50,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle17'}","{enable = {},ignore = {},idle = 0}",,
